episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.7534201040000426,True,False
2,460.0,702,1087,0.2,0.025979084682396868,3.23862160900012,True,False
3,430.0,506,1593,0.2,0.02794814582292621,6.8790886960000535,True,False
4,740.0,956,2549,0.2,0.026377274863768726,11.684059399000034,True,False
5,520.0,549,3098,0.2,0.027750193165193726,13.493251827999984,True,False
6,660.0,500,3598,0.2,0.030833913095993922,15.180846616000053,True,False
7,280.0,496,4094,0.2,0.03243077337092179,16.86644586200009,True,False
8,1530.0,995,5089,0.2,0.029965138237691487,20.085089066000137,True,False
9,950.0,881,5970,0.2,0.031063441087661143,23.295156791999943,True,False
10,1150.0,642,6612,0.2,0.03207067190344093,25.678071820000014,True,False
11,1290.0,885,7497,0.2,0.03309337335756698,28.549291132000008,True,False
12,450.0,689,8186,0.2,0.03304858608604517,30.861462305000032,True,False
13,460.0,666,8852,0.2,0.030538383837856217,33.064408589000095,True,False
14,410.0,486,9338,0.2,0.03830536709105488,34.95228264399998,True,False
15,580.0,532,9870,0.2,0.036305457675703486,37.190981299999976,True,False
16,460.0,575,10445,0.2,0.03553460920940981,39.092711624,True,False
17,230.0,396,10841,0.2,0.036648662834936244,40.455976743000065,True,False
18,320.0,616,11457,0.2,0.03951541204368333,42.51686045800011,True,False
19,450.0,697,12154,0.2,0.03352334724749899,44.820056799999975,True,False
20,820.0,681,12835,0.2,0.034937578567084585,47.241327542000136,True,False
21,480.0,511,13346,0.2,0.03907715701188863,49.45623860900014,True,False
22,590.0,573,13919,0.2,0.04208612047995512,51.37944945999993,True,False
23,320.0,529,14448,0.2,0.04531469985604622,53.17437866399996,True,False
24,390.0,620,15068,0.2,0.03858550756403636,55.242377945000044,True,False
25,570.0,572,15640,0.2,0.04287201237141878,57.21942953000007,True,False
26,1100.0,615,16255,0.2,0.04456364736417491,61.92985341200006,True,False
27,320.0,512,16767,0.2,0.04311085814333637,63.68322875500007,True,False
28,280.0,440,17207,0.2,0.04376297727735205,65.2100574000001,True,False
29,730.0,552,17759,0.2,0.0510616873026542,67.09679626100001,True,False
30,360.0,535,18294,0.2,0.04755449517796845,68.9406963020001,True,False
31,580.0,452,18746,0.2,0.04315997221078559,70.48845295000001,True,False
32,580.0,483,19229,0.2,0.044225069501799,72.35864547899996,True,False
33,1210.0,684,19913,0.2,0.05310313110593815,75.13085496500003,True,False
34,300.0,405,20318,0.2,0.05030487777462395,76.552388221,True,False
35,940.0,818,21136,0.2,0.04917470321695252,79.22076757900004,True,False
36,2180.0,853,21989,0.2,0.05473135312485723,82.0941037770001,True,False
37,1010.0,1164,23153,0.2,0.059851522234194876,86.6118861550001,True,False
38,380.0,426,23579,0.2,0.06004008648583209,88.21438431199999,True,False
39,440.0,494,24073,0.2,0.052885791012686825,89.94676067,True,False
40,300.0,451,24524,0.2,0.053136413925187254,92.17819227400014,True,False
41,360.0,458,24982,0.2,0.05823036628007366,94.08463010000014,True,False
42,1270.0,720,25702,0.2,0.05460451996704149,96.56225547600002,True,False
43,450.0,506,26208,0.2,0.061058565438908384,98.808714711,True,False
44,330.0,376,26584,0.2,0.0534710293794249,100.43307235800012,True,False
45,590.0,567,27151,0.2,0.06202249940326239,102.33042967000006,True,False
46,220.0,398,27549,0.2,0.0639963229559362,103.73354271900007,True,False
47,570.0,469,28018,0.2,0.062264589115213126,105.43141494199995,True,False
48,540.0,645,28663,0.2,0.07336941058892085,107.70908991200008,True,False
49,1250.0,658,29321,0.2,0.06241607118510839,110.07294075200002,True,False
50,340.0,521,29842,0.2,0.05776054078283218,112.39338319500007,True,False
51,1660.0,989,30831,0.2,0.06755032263854556,117.44801314300003,True,False
52,270.0,488,31319,0.2,0.061031932889132716,119.21921573899999,True,False
53,350.0,396,31715,0.2,0.06124559015675326,120.73179966099997,True,False
54,890.0,599,32314,0.2,0.06620314278950294,123.09908936500005,True,False
55,180.0,320,32634,0.2,0.06678714226000011,124.77710276200014,True,False
56,1260.0,1040,33674,0.2,0.06580360024057041,128.29005351900014,True,False
57,710.0,843,34517,0.2,0.05798045473208571,131.11134094499994,True,False
58,290.0,367,34884,0.2,0.05354849637344317,132.45683934199997,True,False
59,490.0,524,35408,0.2,0.0617505487708645,134.28944372900014,True,False
60,760.0,741,36149,0.2,0.06454149797760152,137.39497814000015,True,False
61,440.0,537,36686,0.2,0.06313036326596987,139.23020380799994,True,False
62,640.0,574,37260,0.2,0.06408806341156985,141.20681946100012,True,False
63,140.0,280,37540,0.2,0.06708380826083678,142.249985444,True,False
64,320.0,397,37937,0.2,0.05858061366686315,143.63960626800008,True,False
65,1410.0,727,38664,0.2,0.07249380743826975,146.07963040100003,True,False
66,430.0,530,39194,0.2,0.0739817356013439,148.1248888140001,True,False
67,370.0,410,39604,0.2,0.07478310436335872,150.04967175699994,True,False
68,840.0,758,40362,0.2,0.07365099519057564,152.5765450870001,True,False
69,250.0,339,40701,0.2,0.06672510105897399,153.78775962999998,True,False
70,2490.0,961,41662,0.2,0.07594882533497488,156.94805980499996,True,False
71,820.0,571,42233,0.2,0.07208139124371997,158.84744771700002,True,False
72,1190.0,989,43222,0.2,0.06994517856401954,162.67996461400003,True,False
73,190.0,348,43570,0.2,0.0687507495027164,163.92458814199995,True,False
74,610.0,543,44113,0.2,0.07409722456598983,165.7730105830001,True,False
75,480.0,394,44507,0.2,0.07152474909184539,167.16688900999998,True,False
76,530.0,541,45048,0.2,0.0746971684617593,171.68599182000003,True,False
77,640.0,613,45661,0.2,0.07293902839734859,174.15062900199996,True,False
78,1310.0,731,46392,0.2,0.06588652313691996,176.88379519399996,True,False
79,1260.0,751,47143,0.2,0.06801379100982359,179.42016872399995,True,False
80,540.0,580,47723,0.2,0.08879204311504446,181.37472526800002,True,False
81,860.0,756,48479,0.2,0.0827467599489465,183.85389460700003,True,False
82,370.0,547,49026,0.2,0.07701009445327477,185.93176403000007,True,False
83,460.0,400,49426,0.2,0.07303703284822405,187.75049611200006,True,False
84,1280.0,745,50171,0.2,0.07685020610049206,190.25317929400012,True,False
85,430.0,564,50735,0.2,0.07676286576646017,192.24651252900003,True,False
86,150.0,303,51038,0.2,0.07021180867511582,193.39334671100005,True,False
87,640.0,594,51632,0.2,0.0796790247745562,195.45547222699997,True,False
88,430.0,457,52089,0.2,0.0763506463957591,197.07477213300012,True,False
89,480.0,589,52678,0.2,0.0744134706958216,199.55076995700006,True,False
90,1500.0,1123,53801,0.2,0.07656212888154271,203.4523260410001,True,False
91,470.0,422,54223,0.2,0.0802808923735505,204.96226263100016,True,False
92,900.0,653,54876,0.2,0.08185823277638453,207.15835464400016,True,False
93,470.0,472,55348,0.2,0.09077640490259155,208.8209324720001,True,False
94,160.0,305,55653,0.2,0.08345948355762582,209.92974222099997,True,False
95,680.0,638,56291,0.2,0.08539999382418094,212.63784087600015,True,False
96,360.0,459,56750,0.2,0.07877413102466127,214.21702999100012,True,False
97,410.0,543,57293,0.2,0.08394750782891232,216.04213912900013,True,False
98,620.0,542,57835,0.2,0.07819781359285116,217.848817091,True,False
99,620.0,691,58526,0.2,0.0874666940377799,220.13106190300005,True,False
100,390.0,473,58999,0.2,0.08623332923309783,221.73637625800006,True,False
